ID_FASHI,Name,ra,dec,ra-dec_err,cz,cz_err,cz_min,cz_max,v_radio,v_radio_err,freq,freq_err,z,z_err,ell_maj,ell_min,ell_pa,W_50,W_50_err,W_20,W_20_err,F_peak,F_peak_err,S_bf,S_bf_err,S_sum,S_sum_err,rms,SNR,distance,distance_err,log10Mass,log10Mass_err ,ell_ratio
20230036518.0,J003220.28+544733.0,8.0845,54.7925,0.0029,11278.2,2.79,11178.21,11393.73,10869.3,2.79,1368.9074,0.0132,0.03762,1e-05,3.1,3.1,0,17.91,5.58,92.19,8.38,4.06,0.85,150.31,28.97,137.69,28.97,0.85,16.56,151.61,7.58,8.89,0.09,1.0
20230036896.0,J084304.72+550914.3,130.7697,55.154,0.0049,13453.84,1.95,13364.85,13626.16,12876.0,1.95,1359.3997,0.0093,0.04488,7e-06,2.8,2.8,0,22.66,3.9,35.37,5.86,5.05,1.04,123.21,39.39,132.78,39.39,1.04,9.8,183.11,9.16,8.97,0.15,1.0
20230037009.0,J071526.37+551458.6,108.8599,55.2496,0.0069,10994.23,3.76,10921.99,11067.7,10605.3,3.76,1370.1582,0.0178,0.03667,1.3e-05,2.9,2.9,0,26.91,7.53,50.72,11.29,2.66,0.83,76.19,22.88,75.08,22.88,0.83,6.96,150.89,7.54,8.6,0.14,1.0
20230037149.0,J094300.85+552531.0,145.7536,55.4253,0.0024,810.91,1.01,752.75,863.34,808.73,1.01,1416.574,0.0048,0.0027,3e-06,3.5,3.5,0,21.44,2.02,35.97,3.02,13.15,1.37,324.77,33.15,287.47,33.15,1.37,20.29,16.75,0.84,7.33,0.06,1.0
20230037757.0,J071630.35+560412.6,109.1264,56.0702,0.0033,13280.34,2.45,13111.24,13435.54,12717.0,2.45,1360.1531,0.0116,0.0443,9e-06,1.6,1.6,0,8.15,4.9,52.13,7.36,2.55,0.38,40.03,16.19,57.92,16.19,0.38,14.51,180.12,9.01,8.47,0.18,1.0
20230037771.0,J045504.81+560531.4,73.77,56.0921,0.0032,1924.46,1.34,1853.64,1984.48,1912.19,1.34,1411.3459,0.0063,0.00642,5e-06,4.4,4.0,20,18.91,2.67,32.95,4.01,10.34,1.18,194.89,31.39,136.1,31.39,1.18,15.06,28.53,1.43,7.57,0.08,0.9090909090909091
20230037977.0,J120632.09+562351.5,181.6337,56.3976,0.0017,9611.86,1.79,9496.33,9757.69,9313.26,1.79,1376.2799,0.0085,0.03206,6e-06,3.6,3.6,0,5.49,3.59,94.43,5.38,6.32,1.02,169.74,38.81,140.66,38.81,1.02,28.2,133.44,6.67,8.84,0.11,1.0
20230038003.0,J104053.87+562621.3,160.2244,56.4392,0.0022,7901.51,1.11,7798.66,7961.86,7698.6,1.11,1383.9301,0.0052,0.02636,4e-06,3.2,3.2,0,17.35,2.21,38.54,3.32,11.47,1.23,290.04,36.47,161.56,36.47,1.23,22.35,111.43,5.57,8.92,0.07,1.0
20230063559.0,J164453.68+564352.5,251.2237,56.7313,0.0021,5345.41,0.8,5283.52,5383.85,5251.77,0.8,1395.5231,0.0038,0.01783,3e-06,4.4,4.4,0,17.62,1.6,29.36,2.4,33.33,2.82,690.36,63.35,589.63,63.35,2.82,23.02,73.43,3.67,8.94,0.06,1.0
20230038542.0,J125105.97+572218.0,192.7749,57.3717,0.0017,425.99,1.13,323.74,537.72,425.39,1.13,1418.3903,0.0053,0.00142,4e-06,5.7,5.0,63,21.41,2.25,58.68,3.38,25.68,1.88,639.48,66.56,594.1,66.56,1.88,29.08,9.03,0.45,7.09,0.06,0.8771929824561403
